Model,,Informer,Informer,Informer
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.026316502131521702,0.16220445185899734,0.10418448597192764
DE,96,0.04304204136133194,0.20741355419158936,0.14337409287691116
DE,168,0.05343748442828655,0.2311161383986473,0.1585303619503975
ES,24,0.023367073386907578,0.15227052569389343,0.09222573786973953
ES,96,0.05263973027467728,0.22928376495838165,0.1430995762348175
ES,168,0.05231022275984287,0.22805394977331161,0.146724171936512
FR,24,0.012477611657232046,0.11170318350195885,0.063612449914217
FR,96,0.02247523609548807,0.1499117985367775,0.08973340690135956
FR,168,0.0243172999471426,0.15594003349542618,0.09714344143867493
GB,24,0.03248020075261593,0.18019182980060577,0.1201598271727562
GB,96,0.050595853477716446,0.22491833567619324,0.15751447528600693
GB,168,0.06034110300242901,0.24543344974517822,0.1703314706683159
IT,24,0.012557072564959526,0.11203381791710854,0.06572992354631424
IT,96,0.020788371562957764,0.14408422261476517,0.08869657292962074
IT,168,0.02210140135139227,0.14860127866268158,0.09672382846474648
