Model,Naive,Naive,Naive
Metrics,MSE,MAE,RMSE
DE_load_actual_entsoe_transparency,0.4068226556583662,0.3839972802379622,0.619675140890743
DE_solar_generation_actual,0.1752014675885677,0.144905854027358,0.3806650155022891
DE_wind_generation_actual,0.8092366539957702,1.1467060148364119,1.0708435996150008
DE_wind_offshore_generation_actual,1.2416360454264834,2.5824172322865078,1.6069901158023678
DE_wind_onshore_generation_actual,0.7647566927787737,1.0722765600917954,1.0355078754368774
ES_load_actual_entsoe_transparency,0.3562242816624046,0.30523073062905115,0.5524769050639593
ES_solar_generation_actual,0.24491515964002133,0.21099252526261927,0.4593392267841048
ES_wind_onshore_generation_actual,0.7448998620745102,0.9120252770129322,0.9550001450329378
FR_load_actual_entsoe_transparency,0.23875377213771057,0.14000964374414634,0.3741786254506614
FR_solar_generation_actual,0.17816628157066391,0.1381438156556433,0.3716770313802607
FR_wind_onshore_generation_actual,0.9803659435599743,1.7968389189372902,1.3404622034721048
GB_UKM_load_actual_entsoe_transparency,0.2752824643053361,0.16147580398147102,0.4018405205818236
GB_UKM_solar_generation_actual,0.22251006629830342,0.22042674990453978,0.4694962725139996
GB_UKM_wind_generation_actual,0.9582755519404306,1.559749162061097,1.2488991801026603
GB_UKM_wind_offshore_generation_actual,1.290047831547896,2.8357737274424437,1.6839755721038365
GB_UKM_wind_onshore_generation_actual,0.8251227644504501,1.1622769110934545,1.0780894726753687
IT_load_actual_entsoe_transparency,0.37976637854869133,0.36745851490933595,0.6061835653573395
IT_solar_generation_actual,0.1297360579497589,0.07767525019500836,0.2787027990440863
IT_wind_onshore_generation_actual,0.8085165556251274,1.1190231515748383,1.057838906249358
