Country,Pred_len,Column,MAE,MSE,RMSE
DE,24,load,0.4346,0.4406,0.6638
DE,24,solar,0.2164,0.2008,0.4481
DE,24,wind,0.752,1.0466,1.023
DE,24,wind_offshore,1.3587,3.1817,1.7837
DE,24,wind_onshore,0.7067,0.9706,0.9852
DE,96,load,0.8071,1.0468,1.0231
DE,96,solar,0.3203,0.4056,0.6368
DE,96,wind,1.0824,1.9492,1.3961
DE,96,wind_offshore,1.7051,4.5559,2.1345
DE,96,wind_onshore,1.0082,1.8061,1.3439
DE,168,load,0.2107,0.1212,0.3481
DE,168,solar,0.354,0.4718,0.6869
DE,168,wind,1.0601,1.9788,1.4067
DE,168,wind_offshore,1.6241,4.1706,2.0422
DE,168,wind_onshore,1.0035,1.8611,1.3642
ES,24,load,0.3302,0.2624,0.5122
ES,24,solar,0.3877,0.4936,0.7026
ES,24,wind_onshore,0.6977,0.8002,0.8945
ES,96,load,0.6007,0.6181,0.7862
ES,96,solar,0.5405,0.909,0.9534
ES,96,wind_onshore,0.9467,1.4658,1.2107
ES,168,load,0.2435,0.109,0.3302
ES,168,solar,0.6065,1.1289,1.0625
ES,168,wind_onshore,1.0069,1.6082,1.2682
FR,24,load,0.2078,0.1135,0.3369
FR,24,solar,0.2159,0.1898,0.4357
FR,24,wind_onshore,0.7795,1.2099,1.0999
FR,96,load,0.3983,0.2797,0.5289
FR,96,solar,0.336,0.4157,0.6447
FR,96,wind_onshore,1.1441,2.3256,1.525
FR,168,load,0.2162,0.1274,0.357
FR,168,solar,0.3549,0.4772,0.6908
FR,168,wind_onshore,1.0526,2.0498,1.4317
GB,24,load,0.1903,0.0783,0.2798
GB,24,solar,0.2516,0.2517,0.5017
GB,24,wind,0.9951,1.7157,1.3099
GB,24,wind_offshore,1.3784,3.3611,1.8333
GB,24,wind_onshore,0.7969,1.0989,1.0483
GB,96,load,0.2808,0.1424,0.3774
GB,96,solar,0.3354,0.4331,0.6581
GB,96,wind,1.3617,2.9024,1.7037
GB,96,wind_offshore,1.8117,5.2959,2.3013
GB,96,wind_onshore,1.065,1.8096,1.3452
GB,168,load,0.1986,0.0761,0.2758
GB,168,solar,0.3706,0.5037,0.7097
GB,168,wind,1.2982,2.6874,1.6393
GB,168,wind_offshore,1.7716,5.1337,2.2658
GB,168,wind_onshore,1.0005,1.6433,1.2819
IT,24,load,0.3878,0.3873,0.6224
IT,24,solar,0.1856,0.1522,0.3901
IT,24,wind_onshore,0.8758,1.3162,1.1472
IT,96,load,0.7216,0.9185,0.9584
IT,96,solar,0.2478,0.2715,0.521
IT,96,wind_onshore,1.1452,2.1811,1.4768
IT,168,load,0.2527,0.1454,0.3813
IT,168,solar,0.2659,0.2897,0.5383
IT,168,wind_onshore,1.119,2.054,1.4332
