Model,,PatchTST,PatchTST,PatchTST
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021302812732756138,0.1459546610713005,0.08822370320558548
DE,96,0.03732473403215408,0.19319584220647812,0.1278434321284294
DE,168,0.04000156931579113,0.20000094175338745,0.13467533886432648
ES,24,0.009820426348596811,0.09909801930189133,0.0593242272734642
ES,96,0.01889152266085148,0.13744638115167618,0.08796771988272667
ES,168,0.021454657427966595,0.14647407829761505,0.09432937204837799
FR,24,0.010357479564845562,0.1017710454761982,0.05543074011802673
FR,96,0.01934915315359831,0.13910061120986938,0.081666000187397
FR,168,0.021268436685204506,0.1458367258310318,0.08758320286870003
GB,24,0.025745918974280357,0.16045507788658142,0.10097397118806839
GB,96,0.04282147251069546,0.20692571252584457,0.14099963009357452
GB,168,0.04655083082616329,0.21575313061475754,0.14880791306495667
IT,24,0.010167242027819157,0.10083272308111191,0.0564432255923748
IT,96,0.018848085775971413,0.13728749752044678,0.080945935100317
IT,168,0.021016226150095463,0.14496926218271255,0.08756259828805923
