Model,,- RevIn & CM,- RevIn & CM,- RevIn & CM
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021599757485091686,0.14696438858906427,0.0908643864095211
DE,96,0.04017421727379163,0.2002978722254435,0.13159527877966562
DE,168,0.04293376952409744,0.20696999629338583,0.13826911648114523
ES,24,0.01122797125329574,0.10585414866606395,0.06729999991754691
ES,96,0.02178710202376048,0.14742983629306158,0.09860622882843018
ES,168,0.026166651397943497,0.16131960103909174,0.10864889621734619
FR,24,0.010664962542553743,0.1032523661851883,0.05875833270450433
FR,96,0.020484612012902897,0.1430844267209371,0.08355736980835597
FR,168,0.022911435614029568,0.15130391965309778,0.08910696456829707
GB,24,0.02690904773771763,0.16397867103417715,0.10495907068252563
GB,96,0.04344316261510054,0.20834681888421377,0.14311998834212622
GB,168,0.045746651788552604,0.21387049555778503,0.149448961019516
IT,24,0.01053147561227282,0.1026105210185051,0.06015379726886749
IT,96,0.018687390722334385,0.13669739663600922,0.0834314301609993
IT,168,0.02012580477943023,0.1418491726120313,0.08802341173092525
