Model,,-RevIN + Decomposition ,-RevIN + Decomposition ,-RevIN + Decomposition 
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021843569353222847,0.14777518659830094,0.0916299007833004
DE,96,0.03960367701947689,0.19882295727729798,0.13111019879579544
DE,168,0.042883611470460894,0.2068165898323059,0.138226318359375
ES,24,0.014917781576514244,0.11861521676182747,0.07246856950223446
ES,96,0.0247328981757164,0.15559536218643188,0.10181938707828522
ES,168,0.02959518674761057,0.16984045952558519,0.11136912629008293
FR,24,0.010769740492105485,0.10373158529400825,0.0590817142277956
FR,96,0.02146264910697937,0.14613597095012665,0.0856684222817421
FR,168,0.024276180379092693,0.15520071536302565,0.09181390926241875
GB,24,0.027373313903808594,0.16532442569732667,0.10566103383898735
GB,96,0.045165037363767625,0.21228362619876862,0.14471629709005357
GB,168,0.04769315756857395,0.21812672019004822,0.15110782235860826
IT,24,0.010735540743917226,0.10357177257537842,0.06110839694738388
IT,96,0.0192685317248106,0.13869121223688125,0.08465872183442116
IT,168,0.020533029176294803,0.14321377277374267,0.08905420079827309
