Model,,-P,-P,-P
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.021901745349168777,0.14799238741397858,0.09500051289796829
DE,96,0.03542259708046913,0.1882089227437973,0.13172055780887604
DE,168,0.037591367959976196,0.193884938955307,0.13648755848407745
ES,24,0.010552062653005123,0.10272323340177536,0.06482216715812683
ES,96,0.019253108650445938,0.13875557482242584,0.09227865189313889
ES,168,0.02139340527355671,0.14626485109329224,0.0981053039431572
FR,24,0.010856376960873604,0.10419394075870514,0.05993499606847763
FR,96,0.020015263929963112,0.14147530496120453,0.08575939387083054
FR,168,0.021995939314365387,0.14831027388572693,0.09114450216293335
GB,24,0.02572702430188656,0.16039645671844482,0.1057143285870552
GB,96,0.0402989462018013,0.20074597001075745,0.14150388538837433
GB,168,0.04305318742990494,0.2074926197528839,0.14702880382537842
IT,24,0.01024822797626257,0.10123353451490402,0.06074071303009987
IT,96,0.018302302807569504,0.13528600335121155,0.08310361206531525
IT,168,0.019438760355114937,0.1394229531288147,0.08769001066684723
