Model,,TimeLLM/168,TimeLLM/168,TimeLLM/168
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.022713396698236465,0.15070964395999908,0.09314965456724167
DE,96,0.03904155269265175,0.19758935272693634,0.1312127262353897
DE,168,0.04313361272215843,0.20768633484840393,0.13920451700687408
GB,24,0.025825485587120056,0.16070309281349182,0.1029878556728363
GB,96,0.04658650979399681,0.21583908796310425,0.14624564349651337
GB,168,0.04751771315932274,0.2179855853319168,0.1499413400888443
ES,24,0.01031138002872467,0.10154496878385544,0.06399503350257874
ES,96,0.01997840777039528,0.14134499430656433,0.09172166138887405
ES,168,0.022127792239189148,0.14875413477420807,0.09595496952533722
FR,24,0.010154812596738338,0.10077109187841415,0.05653735250234604
FR,96,0.019628532230854034,0.1401018649339676,0.08128844946622849
FR,168,0.02272237464785576,0.15073943138122559,0.08884815871715546
IT,24,0.010610697790980339,0.10300824046134949,0.05985838919878006
IT,96,0.01913185976445675,0.13831797242164612,0.08287986367940903
IT,168,0.020030096173286438,0.14152772724628448,0.08731971681118011
