Model,,(S)ARIMA,(S)ARIMA,(S)ARIMA
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.020614124434229504,0.1115270219009501,0.09319426949564792
DE,96,0.059273551594662265,0.2027996162156164,0.1649091282617934
DE,168,0.07554536955745803,0.227855642899247,0.1851485937557729
ES,24,0.01448906850266018,0.0967707089856011,0.07889426902007843
ES,96,0.027788535177941682,0.1417008852389641,0.1121857681309042
ES,168,0.03940474296796961,0.17610733807579534,0.13585881140258152
FR,24,0.010734426476775414,0.07602105120633605,0.06056851471506896
FR,96,0.025895782136083536,0.12541837572813005,0.0980646521738901
FR,168,0.03264501585471763,0.1489106832476357,0.11498019933605175
GB,24,0.035165079881739635,0.14408275363053114,0.12014516799811784
GB,96,0.0656395626155471,0.2152734939075566,0.1768559002926453
GB,168,0.06890515864492977,0.22669082361750684,0.18283188120175445
IT,24,0.013559538446488927,0.08643231314932225,0.06976902662273171
IT,96,0.026910679094911582,0.1312377656797477,0.1033349056171994
IT,168,0.03808498681269838,0.16571057614635207,0.12759510574221736
