Model,,Self-supervised,Self-supervised,Self-supervised
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.020964345,0.1447907,0.08781569
DE,96,0.035278957,0.18782693,0.12558234
DE,168,0.037891317,0.19465692,0.13175999
GB,24,0.024676688,0.15708816,0.100085326
GB,96,0.04085866,0.20213525,0.13899982
GB,168,0.04288745,0.20709285,0.14451396
ES,24,0.009417445,0.09704352,0.058138527
ES,96,0.018478319,0.13593498,0.08666786
ES,168,0.020801155,0.14422606,0.09236147
FR,24,0.010037775,0.100188695,0.05369783
FR,96,0.019308077,0.1389535,0.07854171
FR,168,0.021174159,0.14551343,0.085590534
IT,24,0.010050573,0.10025255,0.05710588
IT,96,0.018056924,0.13437605,0.079543985
IT,168,0.019674266,0.14026499,0.08530837
